app_id,userName,score,at,content
co.pegadaian.syariah.nasabah,Tano Intan,5,2025-04-19 06:01:43,bagus sekali
co.pegadaian.syariah.nasabah,anak pertama,5,2025-04-19 05:18:09,bagus sekali aplikasinya .....
co.pegadaian.syariah.nasabah,Aditya Dharma Prasetya,5,2025-04-19 04:25:22,Pengajuan gadai syariah menjadi lebih mudah dan cepat. Saya bisa memilih jaminan yang paling sesuai dan mendapatkan dana cepat.
co.pegadaian.syariah.nasabah,Lena Offcial,5,2025-04-19 03:02:34,saya kasih bintang 5 karena aplikasi ini sangat membantu saya😇
co.pegadaian.syariah.nasabah,Andhika Clearesta johari,5,2025-04-19 02:41:09,Aplikasi keren!
co.pegadaian.syariah.nasabah,Aji Fauzi,5,2025-04-19 02:09:17,"Dengan kecepatan dan keamanan yang ditawarkan, saya lebih percaya menggunakan layanan ini."
co.pegadaian.syariah.nasabah,M riza Muffazal,5,2025-04-19 02:05:22,"Pelayanan yang sangat cepat, puas dengan kecepatan respon dari aplikasi."
co.pegadaian.syariah.nasabah,Amak Pinoh,5,2025-04-19 01:35:41,bgus
co.pegadaian.syariah.nasabah,M Faizal Hamzah,5,2025-04-19 01:15:40,App Pegadaian Syariah Digital ini sangat membantu saya dalam melakukan pengajuan porsi haji dengan mudah dan cepat. Fitur-fiturnya juga sangat lengkap dan user-friendly. Saya sangat merekomendasikan app ini bagi siapa saja yang membutuhkan jasa pegadaian
co.pegadaian.syariah.nasabah,Ervan Herdianto,5,2025-04-19 01:06:36,mempermudah akses
co.pegadaian.syariah.nasabah,Endro Mujiarso,5,2025-04-19 01:01:08,Saya sangat puas dengan sistem pembayaran yang sangat cepat
co.pegadaian.syariah.nasabah,Teo Channel,5,2025-04-19 00:45:42,lumayan terpercaya itu
co.pegadaian.syariah.nasabah,Setiyo Prabowo,1,2025-04-18 22:07:31,"barharap segera ada update dan perbaikan pada aplikasi ini, dan berharap bisa upgrade ke akun premium. kerana sudah hampir 1 bulan registrasi bahkan sudah top up beberapa kali tapi masih tidak bisa upgrade ke akun premium. padahal sudah berkali kali hapus dan install ulang aplikasinya, juga sudah kirim email ke customercare, hasilnya masih sama. beda dengan aplikasi pegadaian versi 6.1.1 yang sangat lancar baru registrasi dan 1 kali top up langsung bisa upgrade ke akun premium.mohon diperbaiki"
co.pegadaian.syariah.nasabah,Dee Prox76,1,2025-04-18 21:04:03,"aplikasinya gimana masa mau upgrade akun premium gabisa,terjadi kesalahan dalam aplikasi,sudah dihapus chache tetap tidak bisa"
co.pegadaian.syariah.nasabah,Desi Anggun,5,2025-04-18 19:01:50,MANTAP
co.pegadaian.syariah.nasabah,Xtreme Cell,5,2025-04-18 18:28:12,mantap
co.pegadaian.syariah.nasabah,Adhi Assegaff,5,2025-04-18 18:17:48,bagus sekali
co.pegadaian.syariah.nasabah,Dapit Setiawan,5,2025-04-18 17:19:11,bagus banget aplikasi ini
co.pegadaian.syariah.nasabah,erma wati,1,2025-04-18 16:01:31,gk bisa daftar gk dikirim kodenya
co.pegadaian.syariah.nasabah,Intan Syafita,5,2025-04-18 14:39:22,"membantu sekali, jadi gak perlu keluar rumah. cukup d rumah klik sana sini. udah selesai"
co.pegadaian.syariah.nasabah,Jenifer Sirah,5,2025-04-18 13:51:44,apk yang sangat membantu dan fitur fiturnya bagus banget
co.pegadaian.syariah.nasabah,Muhammad Kanz Al batani,5,2025-04-18 13:13:38,aplikasi yang bagus
co.pegadaian.syariah.nasabah,Ahlam AHLAM,5,2025-04-18 12:44:48,aplikasi baguss dan keren
co.pegadaian.syariah.nasabah,Aden Hars,5,2025-04-18 12:21:54,Good aplikasi
co.pegadaian.syariah.nasabah,Sultan Email,5,2025-04-18 10:45:57,Aplikasi bagus dan cocok untuk mengajukan barang yang ingin digadai.
co.pegadaian.syariah.nasabah,Aji Sunarya,5,2025-04-18 09:53:26,aplikasi nya mantap lancar tanpa gangguan
co.pegadaian.syariah.nasabah,Zuhri,5,2025-04-18 08:02:25,veryy good
co.pegadaian.syariah.nasabah,bagol weli,5,2025-04-18 07:40:47,"terimakasih pengadaian syariah digital ,sangat membantu"
co.pegadaian.syariah.nasabah,Recky 806,4,2025-04-18 06:38:20,mantab
co.pegadaian.syariah.nasabah,Edirosi Edi,5,2025-04-18 06:12:56,mantap amanah
co.pegadaian.syariah.nasabah,kevin kevina,5,2025-04-18 06:02:02,Kren
co.pegadaian.syariah.nasabah,Abdul qaidir jailani,5,2025-04-18 05:54:10,bagus
co.pegadaian.syariah.nasabah,Sandy Firman,5,2025-04-18 05:31:48,bisa nabung emas disini
co.pegadaian.syariah.nasabah,Dhedy MPC,5,2025-04-18 05:25:26,Mantap sekali
co.pegadaian.syariah.nasabah,M Farid Iskandar,5,2025-04-18 02:08:50,mantap
co.pegadaian.syariah.nasabah,Vare 301,5,2025-04-18 01:27:01,"Beli emas jadi lebih gampang dan cepat, tidak perlu antre"
co.pegadaian.syariah.nasabah,sumi yati,5,2025-04-18 01:10:42,keren banget
co.pegadaian.syariah.nasabah,ReBoy,5,2025-04-18 01:08:20,"Saya menyukai fitur bantuan sekali klik pada aplikasi ini, yang memungkinkan saya mendapatkan bantuan dengan cepat ketika saya mengalami masalah."
co.pegadaian.syariah.nasabah,Bank Bri,5,2025-04-17 19:07:34,sangat baguss
co.pegadaian.syariah.nasabah,Kevin Sukesta,5,2025-04-17 18:59:47,aplikasi ini sangat bagus👍👍
co.pegadaian.syariah.nasabah,Aprilia Julia0427,5,2025-04-17 18:57:06,baaagguusssssssssssa
co.pegadaian.syariah.nasabah,Kiren depsing,5,2025-04-17 18:50:17,ini sangat bagus dan membuktikan membayar
co.pegadaian.syariah.nasabah,Npc Dunia,5,2025-04-17 18:32:37,apk nya sangat berguna
co.pegadaian.syariah.nasabah,Muhamad Baetij,5,2025-04-17 18:32:36,aplikasi nya bgus dan bisa buat nabung mas atau investasi
co.pegadaian.syariah.nasabah,Musmir 368,5,2025-04-17 18:30:23,bagus
co.pegadaian.syariah.nasabah,Ibrohim Ibrohim,5,2025-04-17 18:22:21,Mantapnya
co.pegadaian.syariah.nasabah,Rudi Muhammad,5,2025-04-17 17:59:39,mantap
co.pegadaian.syariah.nasabah,Ipoy Sbdc,5,2025-04-17 17:47:10,bagus membantu Anda dari kesusahan
co.pegadaian.syariah.nasabah,Imz Diy,5,2025-04-17 17:34:39,keren
co.pegadaian.syariah.nasabah,skip skippour,5,2025-04-17 17:33:57,sangat bagus
co.pegadaian.syariah.nasabah,Ema Maryani,5,2025-04-17 17:01:45,keren
co.pegadaian.syariah.nasabah,wahyu exo,5,2025-04-17 17:00:14,goodjob
co.pegadaian.syariah.nasabah,Faiz alfaridzi,5,2025-04-17 16:49:19,bagus
co.pegadaian.syariah.nasabah,Fajar Mine,5,2025-04-17 16:31:21,aman
co.pegadaian.syariah.nasabah,Ok team,5,2025-04-17 16:25:19,bagus
co.pegadaian.syariah.nasabah,Irwan Yudistira,5,2025-04-17 16:18:35,ok
co.pegadaian.syariah.nasabah,Bb Vv,5,2025-04-17 15:54:09,Kren aplikasi ny
co.pegadaian.syariah.nasabah,Hanafi Muhammad,5,2025-04-17 15:50:49,keren bngtttt apk nyh GK donlowd rugii sii ini mh
co.pegadaian.syariah.nasabah,ma tigan bre charona,5,2025-04-17 15:04:42,syudah
co.pegadaian.syariah.nasabah,Angga Riswanto,5,2025-04-17 15:03:46,good
co.pegadaian.syariah.nasabah,Yatun Efraim,5,2025-04-17 14:53:41,bagus
co.pegadaian.syariah.nasabah,Bahrun Cirun,5,2025-04-17 14:52:52,apk rekomndasi ini untuk kaliansemua
co.pegadaian.syariah.nasabah,Firman,5,2025-04-17 14:45:50,Keren
co.pegadaian.syariah.nasabah,Kairil Anwar,5,2025-04-17 14:40:21,aplikasi yang sangat membantu
co.pegadaian.syariah.nasabah,Dava Ramadhan,5,2025-04-17 14:31:02,good
co.pegadaian.syariah.nasabah,SAMSUNG J13,5,2025-04-17 13:57:46,mantap
co.pegadaian.syariah.nasabah,sarung ayam,5,2025-04-17 13:34:53,bagus nih
co.pegadaian.syariah.nasabah,Hadi05saputra Saputra,5,2025-04-17 12:08:28,sangat baguss
co.pegadaian.syariah.nasabah,Yudaaa,5,2025-04-17 12:07:47,bagus banget
co.pegadaian.syariah.nasabah,Juliansyah 45,5,2025-04-17 12:07:00,aplikasi nya bagus saya suka
co.pegadaian.syariah.nasabah,Adam Raka,3,2025-04-17 10:28:02,upgrade dari akun standar sulit(sering gagal)
co.pegadaian.syariah.nasabah,JeremY SilitongA,5,2025-04-17 10:14:19,nice
co.pegadaian.syariah.nasabah,Aang Abdul,3,2025-04-17 09:17:54,aplikasi punya saya sudah 2 minggu tidak bisa di buka..server nya sibuk terus hadeuhh
co.pegadaian.syariah.nasabah,Dayu Santi Putri,5,2025-04-17 08:03:14,Pembukaan tabungan emasnya mudah dan cepat
co.pegadaian.syariah.nasabah,Jian Lendriana,5,2025-04-17 07:51:51,Jos gandos
co.pegadaian.syariah.nasabah,Risma Watie,5,2025-04-17 06:12:47,bagus sekali
co.pegadaian.syariah.nasabah,Rahmat Abhhani,5,2025-04-17 05:44:40,"Saya seorang tukang kayu tradisional yang menggadaikan perkakas saya untuk mendapatkan uang guna membeli kayu berkualitas, dan mutu pekerjaan saya jauh lebih baik."
co.pegadaian.syariah.nasabah,Maulana Zulkhairi,1,2025-04-17 03:12:54,"sudah berbulan"" tidak bisa buka apk nya"
co.pegadaian.syariah.nasabah,Nadya Vega,5,2025-04-17 03:03:56,apk sngat bagus
co.pegadaian.syariah.nasabah,Robbi Nugroho,5,2025-04-17 02:16:47,good
co.pegadaian.syariah.nasabah,Kenzy Maxwell,5,2025-04-17 01:57:23,bagus
co.pegadaian.syariah.nasabah,rasya rezky,5,2025-04-17 00:38:34,bagus
co.pegadaian.syariah.nasabah,Warnet Tanjung,5,2025-04-17 00:12:44,good
co.pegadaian.syariah.nasabah,erik an,1,2025-04-16 19:46:50,masa gabisa buat upgrade akun. selalu dibilang kesalahan aplikasi. payah nih
co.pegadaian.syariah.nasabah,Jari 12,5,2025-04-16 17:44:53,keren
co.pegadaian.syariah.nasabah,Muhammad Ashoff,5,2025-04-16 17:33:32,bagus sekali
co.pegadaian.syariah.nasabah,zyann zyn,5,2025-04-16 17:33:08,hanya menyelesaikan kan misi
co.pegadaian.syariah.nasabah,Sofia Handayani,5,2025-04-16 17:29:52,baik
co.pegadaian.syariah.nasabah,Tia Wati,5,2025-04-16 17:28:00,mantafff
co.pegadaian.syariah.nasabah,Amin ART,5,2025-04-16 17:16:33,ok
co.pegadaian.syariah.nasabah,Degib Tahlia,5,2025-04-16 17:12:30,kren apilkas nya
co.pegadaian.syariah.nasabah,gilang Vicky Padilah,5,2025-04-16 17:11:38,gacor
co.pegadaian.syariah.nasabah,Firman Ktpff,5,2025-04-16 16:42:28,aplikasi bagus 👍
co.pegadaian.syariah.nasabah,Mr DR,5,2025-04-16 16:34:23,nice
co.pegadaian.syariah.nasabah,Kaijah Pearson,5,2025-04-16 16:01:41,bagus
co.pegadaian.syariah.nasabah,Ramdani Dani,5,2025-04-16 15:46:03,bermanfaat
co.pegadaian.syariah.nasabah,Adit Nazmi At-Tahany,5,2025-04-16 15:36:48,mantap
co.pegadaian.syariah.nasabah,Kane Ellington,5,2025-04-16 15:36:43,good
co.pegadaian.syariah.nasabah,Sann Diii,5,2025-04-16 15:33:02,Mantap
co.pegadaian.syariah.nasabah,alif fauzi,5,2025-04-16 15:30:44,mantap
co.pegadaian.syariah.nasabah,Ahmad Ahmad,5,2025-04-16 15:22:48,sangat oke
co.pegadaian.syariah.nasabah,Ichank Graphyc •R,5,2025-04-16 15:22:13,kasih bintang 5
co.pegadaian.syariah.nasabah,muhammad Rizki,5,2025-04-16 14:38:22,👌👌
